idx,제목,기관명,근무지,고용형태,등록일,마감일,D-day,남은일수,마감임박,상태,상세URL,최초수집일,최초수집일
305141,한전KPS(주) 서울경기전력지사 인천지점 단기노무원(부지정리) 모집,한전KPS(주),인천,비정규직,2026-09-19,2026-09-28,9,10,,진행중,https://job.alio.go.kr/recruitview.do?idx=305141,2026-09-18,2026-09-18
305106,한국폴리텍대학 창원캠퍼스 행정지원직(사무직원 휴직 대체인력) 채용 공고,학교법인한국폴리텍,경남,비정규직,2026-09-18,2026-09-27,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=305106,2026-09-18,2026-09-18
305108,한국폴리텍대학 창원캠퍼스 무기계약직원(조리원) 채용 공고,학교법인한국폴리텍,경남,무기계약직,2026-09-18,2026-09-27,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=305108,2026-09-18,2026-09-18
305077,한전KDN(주) 경기북부사업처 2026년 DAS 통신설비 시설공사 작업원 모집,한전KDN,경기,비정규직,2026-09-18,2026-10-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=305077,2026-09-18,2026-09-18
305110,한전KDN(주) 대구본부 포항지사 AMI분야 작업원 모집공고,한전KDN,대구 외 1,비정규직,2026-09-18,2026-10-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=305110,2026-09-18,2026-09-18
305083,한전KDN(주) 강원사업처 AMI분야 비정규직(장애인) 모집공고,한전KDN,강원,비정규직,2026-09-18,2026-10-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=305083,2026-09-18,2026-09-18
305085,2026년 제2차 방사선보건원 기간제근로자 채용,한국수력원자력(주),서울,비정규직,2026-09-18,2026-10-06,17,18,,진행중,https://job.alio.go.kr/recruitview.do?idx=305085,2026-09-18,2026-09-18
305087,한국폴리텍대학 광명융합기술교육원 대학운영직(경비원) _보훈특별고용 채용 2차 재공고,학교법인한국폴리텍,경기,무기계약직,2026-09-18,2026-09-23,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=305087,2026-09-18,2026-09-18
305121,한전KDN 국외 마이크로인버터 사업 업무지원 분야 기간제근로자 채용공고,한전KDN,해외,비정규직,2026-09-18,2026-10-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=305121,2026-09-18,2026-09-18
304927,국립낙동강생물자원관 2026년 제3차 기간제근로자 채용 공고,국립낙동강생물자원관,경북,비정규직,2026-09-18,2026-10-05,16,17,,진행중,https://job.alio.go.kr/recruitview.do?idx=304927,2026-09-18,2026-09-18
305118,한전KDN 국내 태양광발전소 구축 업무지원 분야 기간제근로자 채용공고,한전KDN,전남광주,비정규직,2026-09-18,2026-10-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=305118,2026-09-18,2026-09-18
305123,국립호남권생물자원관 기간제ㆍ단시간 근로자(급식종사자) 채용 재공고,국립호남권생물자원관,전남광주,비정규직,2026-09-18,2026-09-29,10,11,,진행중,https://job.alio.go.kr/recruitview.do?idx=305123,2026-09-18,2026-09-18
305124,2026-11회 생명과학 연구클러스터 연구직 채용 공고,기초과학연구원,대전,비정규직,2026-09-18,2026-10-06,17,18,,진행중,https://job.alio.go.kr/recruitview.do?idx=305124,2026-09-18,2026-09-18
305126,한전KPS(주) 대외사업센터 단기노무원 채용 공고(하남 SK위례),한전KPS(주),경기,비정규직,2026-09-18,2026-09-22,3,4,,진행중,https://job.alio.go.kr/recruitview.do?idx=305126,2026-09-18,2026-09-18
305131,한국폴리텍대학 서울정수캠퍼스 하반기 업무지원직(식당보조원) 2차 채용 공고,학교법인한국폴리텍,서울,비정규직,2026-09-18,2026-09-27,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=305131,2026-09-18,2026-09-18
305133,[울산병원] 의료직(약사) 2급 채용 공고,근로복지공단,울산,정규직,2026-09-18,2026-09-28,9,10,,진행중,https://job.alio.go.kr/recruitview.do?idx=305133,2026-09-18,2026-09-18
305134,[울산병원] 의료직(약사) 3급 채용 공고,근로복지공단,울산,정규직,2026-09-18,2026-09-28,9,10,,진행중,https://job.alio.go.kr/recruitview.do?idx=305134,2026-09-18,2026-09-18
305135,[태백병원] 공무직(시설미화원) 채용 공고,근로복지공단,강원,무기계약직,2026-09-18,2026-09-29,10,11,,진행중,https://job.alio.go.kr/recruitview.do?idx=305135,2026-09-18,2026-09-18
